x,y,p,u,v
1.85,0.45,8351.09,0.983017,-0.127848
1.95,0.45,8233.93,1.02803,-0.161594
2.05,0.45,8094.23,1.0847,-0.195305
2.15,0.45,7925.77,1.15309,-0.226024
2.25,0.45,7722.37,1.23205,-0.24949
2.35,0.45,7479.32,1.31849,-0.260542
2.45,0.45,7195.57,1.40696,-0.254376
2.55,0.45,6875.79,1.49003,-0.228769
2.65,0.45,6530.92,1.56024,-0.186316
2.75,0.45,6175.02,1.61289,-0.134078
2.85,0.45,5819.96,1.64707,-0.0791425
2.95,0.45,5473.56,1.66419,-0.0259904
3.05,0.45,5140.76,1.66605,0.0236821
3.15,0.45,4825.31,1.65373,0.0698416
3.25,0.45,4531.01,1.62741,0.112571
3.35,0.45,4261.78,1.58713,0.150737
3.45,0.45,4020.57,1.534,0.181786
3.55,0.45,3807.71,1.47078,0.203441
3.65,0.45,3621.11,1.40123,0.214847
3.75,0.45,3457.44,1.32919,0.216639
3.85,0.45,3313.22,1.2579,0.210443
3.95,0.45,3185.39,1.18983,0.198296
4.05,0.45,3071.47,1.12658,0.182222
4.15,0.45,2969.46,1.06911,0.163981
4.25,0.45,2877.75,1.01783,0.144969
4.35,0.45,2794.96,0.972783,0.126213
4.45,0.45,2719.89,0.933735,0.10841
4.55,0.45,2651.44,0.900297,0.0919885
4.65,0.45,2588.64,0.871986,0.077175
4.75,0.45,2530.6,0.848271,0.0640478
4.85,0.45,2476.53,0.828619,0.0525848
4.95,0.45,2425.71,0.812508,0.0427002
5.05,0.45,2377.54,0.799452,0.0342704
5.15,0.45,2331.48,0.789002,0.0271534
5.25,0.45,2287.1,0.780753,0.0212016
5.35,0.45,2244.02,0.774349,0.0162703
5.45,0.45,2201.92,0.769473,0.0122227
5.55,0.45,2160.56,0.765854,0.00893287
5.65,0.45,2119.73,0.763256,0.0062872
5.75,0.45,2079.27,0.761479,0.00418464
5.85,0.45,2039.07,0.760353,0.00253639
5.95,0.45,1999.02,0.759738,0.00126521
6.05,0.45,1959.05,0.759514,0.000304451
6.15,0.45,1919.11,0.759584,-0.000402904
6.25,0.45,1879.16,0.759868,-0.000905318
6.35,0.45,1839.18,0.760303,-0.00124369
6.45,0.45,1799.16,0.760835,-0.00145232
6.55,0.45,1759.09,0.761424,-0.00155977
6.65,0.45,1718.96,0.762038,-0.00158964
6.75,0.45,1678.77,0.762653,-0.00156133
6.85,0.45,1638.54,0.76325,-0.00149062
6.95,0.45,1598.26,0.763815,-0.00139027
7.05,0.45,1557.94,0.76434,-0.00127046
